code,name,name_chinese
AFG,Afghanistan,阿富汗
AGO,Angola,安哥拉
ALB,Albania,阿尔巴尼亚
ARE,United Arab Emirates,阿拉伯联合酋长国
ARG,Argentina,阿根廷
ARM,Armenia,亚美尼亚
AUS,Australia,澳大利亚
AUT,Austria,奥地利
AZE,Azerbaijan,阿塞拜疆
BDI,Burundi,布隆迪
BEL,Belgium,比利时
BEN,Benin,贝宁
BFA,Burkina Faso,布基纳法索
BGD,Bangladesh,孟加拉国
BGR,Bulgaria,保加利亚
BHR,Bahrain,巴林
BIH,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那
BLR,Belarus,白俄罗斯
BOL,Bolivia (Plurinational State of),玻利维亚
BRA,Brazil,巴西
BRB,Barbados,巴巴多斯
BWA,Botswana,博茨瓦纳
CAF,Central African Republic,中非共和国
CAN,Canada,加拿大
CHE,Switzerland,瑞士
CHL,Chile,智利
CHN,China,中国
CIV,Côte d'Ivoire,科特迪瓦
CMR,Cameroon,喀麦隆
COD,D.R. of the Congo,刚果民主共和国
COG,Congo,刚果共和国
COL,Colombia,哥伦比亚
COM,Comoros,科摩罗
CPV,Cabo Verde,佛得角
CRI,Costa Rica,哥斯达黎加
CSK,Czechoslovakia,捷克斯洛伐克
CUB,Cuba,古巴
CYP,Cyprus,塞浦路斯
CZE,Czech Republic,捷克共和国
DEU,Germany,德国
DJI,Djibouti,吉布提
DMA,Dominica,多米尼克
DNK,Denmark,丹麦
DOM,Dominican Republic,多米尼加共和国
DZA,Algeria,阿尔及利亚
ECU,Ecuador,厄瓜多尔
EGY,Egypt,埃及
ESP,Spain,西班牙
EST,Estonia,爱沙尼亚
ETH,Ethiopia,埃塞俄比亚
FIN,Finland,芬兰
FRA,France,法国
GAB,Gabon,加蓬
GBR,United Kingdom,英国
GEO,Georgia,格鲁吉亚
GHA,Ghana,加纳
GIN,Guinea,几内亚
GMB,Gambia,冈比亚
GNB,Guinea-Bissau,几内亚比绍
GNQ,Equatorial Guinea,赤道几内亚
GRC,Greece,希腊
GTM,Guatemala,危地马拉
HKG,"China, Hong Kong SAR",中国香港特别行政区
HND,Honduras,洪都拉斯
HRV,Croatia,克罗地亚
HTI,Haiti,海地
HUN,Hungary,匈牙利
IDN,Indonesia,印度尼西亚
IND,India,印度
IRL,Ireland,爱尔兰
IRN,Iran (Islamic Republic of),伊朗
IRQ,Iraq,伊拉克
